timestamp,item,expo_quantity,expo_rev,impo_quantity,impo_cost,margin
2019-01,TM,356571,990,0,0,990
2019-01,ON,821330,222,4003206,1118,-896
2019-01,SL,60,1,93405,128,-127
2019-01,BC,160,1,638913,563,-562
2019-01,BS,0,0,7580,38,-38
2019-01,CB,184650,94,395802,90,4
2019-01,LT,85200,95,258096,165,-70
2019-01,CH,0,0,90,1,-1
2019-01,CR,23150,22,7466150,2955,-2934
2019-01,CC,10340,28,0,0,28
2019-01,BE,2,0,0,0,0
2019-01,DP,876,7,13829,23,-16
2019-01,FG,2627,23,94529,464,-441
2019-01,PA,60,0,6014272,4461,-4461
2019-01,MG,0,0,1778356,7719,-7719
2019-01,MS,0,0,14685,82,-82
2019-01,OR,282,1,5423713,9051,-9050
2019-01,TG,58368,172,0,0,172
2019-01,GP,0,0,2205640,3503,-3503
2019-01,LM,1195,7,1736971,4019,-4011
2019-01,WM,6547,27,1500,19,7
2019-01,PP,0,0,66901,123,-123
2019-01,AP,451382,1154,0,0,1154
2019-01,PR,3118675,8944,0,0,8944
2019-01,PU,30,0,0,0,0
2019-02,TM,332512,926,0,0,926
2019-02,ON,165470,57,2319079,728,-671
2019-02,SL,0,0,26163,66,-66
2019-02,BC,780,1,396870,399,-398
2019-02,BS,0,0,4140,21,-21
2019-02,CB,182636,69,336142,77,-8
2019-02,LT,40150,45,309258,213,-167
2019-02,CH,0,0,270,1,-1
2019-02,CR,16250,16,6524716,2600,-2585
2019-02,CC,336,2,0,0,2
2019-02,DP,0,0,56660,118,-118
2019-02,FG,0,0,43151,160,-160
2019-02,PA,0,0,5260892,3978,-3978
2019-02,MG,0,0,1649541,6366,-6366
2019-02,MS,0,0,50168,282,-282
2019-02,OR,525,1,5699591,9641,-9640
2019-02,TG,8474,33,0,0,33
2019-02,GP,0,0,1185033,1907,-1907
2019-02,LM,520,3,2157054,4798,-4795
2019-02,WM,2927,13,26380,257,-244
2019-02,PP,0,0,21219,52,-52
2019-02,AP,194089,472,0,0,472
2019-02,PR,878305,2230,0,0,2230
2019-03,TM,476592,1369,0,0,1369
2019-03,ON,4710,3,3707265,1134,-1130
2019-03,SL,0,0,68775,109,-109
2019-03,BC,100,0,417756,503,-503
2019-03,BS,0,0,4520,22,-22
2019-03,CB,854925,354,356514,94,260
2019-03,LT,36,0,151776,106,-106
2019-03,CH,0,0,540,3,-3
2019-03,CR,17960,13,13353720,4953,-4941
2019-03,CC,3373,8,0,0,8
2019-03,DP,0,0,38146,82,-82
2019-03,FG,220,2,17808,109,-107
2019-03,PA,0,0,6363858,5052,-5052
2019-03,MG,0,0,3148821,11360,-11360
2019-03,MS,0,0,27140,185,-185
2019-03,OR,1200,5,41025303,65989,-65984
2019-03,TG,2061,10,4599,12,-2
2019-03,GP,0,0,1014249,1576,-1576
2019-03,LM,0,0,1565892,3363,-3363
2019-03,WM,0,0,17560,152,-152
2019-03,PP,0,0,36755,73,-73
2019-03,AP,106635,292,0,0,292
2019-03,PR,1061622,2886,0,0,2886
2019-03,PU,30,0,0,0,0
2019-04,TM,486481,1360,0,0,1360
2019-04,ON,10375,1,4452470,1441,-1440
2019-04,SL,0,0,72259,159,-159
2019-04,BC,18,0,783593,1207,-1207
2019-04,BS,0,0,11370,51,-51
2019-04,CB,6494616,2658,343463,105,2553
2019-04,LT,67147,71,8,0,71
2019-04,CH,0,0,270,1,-1
2019-04,CR,16910,14,8323700,3493,-3479
2019-04,CC,5818,15,0,0,15
2019-04,DP,272,1,134033,254,-253
2019-04,FG,877,8,38178,210,-202
2019-04,PA,0,0,7000161,5943,-5943
2019-04,MG,28,0,3588106,12311,-12311
2019-04,MS,0,0,223734,1218,-1218
2019-04,OR,558,1,48407680,83004,-83003
2019-04,TG,328,9,13457,36,-27
2019-04,GP,0,0,1140481,1922,-1922
2019-04,LM,67,0,1538120,3216,-3216
2019-04,WM,6037,17,0,0,17
2019-04,PP,0,0,29364,65,-65
2019-04,AP,53359,133,0,0,133
2019-04,PR,485065,1247,0,0,1247
2019-04,PU,0,0,0,0,0
2019-05,TM,384730,1041,0,0,1041
2019-05,ON,912260,375,1269000,516,-141
2019-05,SL,12,0,139140,167,-167
2019-05,BC,16,0,749745,1028,-1028
2019-05,BS,0,0,18370,80,-80
2019-05,CB,1461639,662,270972,95,567
2019-05,LT,86226,131,0,0,131
2019-05,CH,0,0,270,1,-1
2019-05,CR,18000,16,4897803,2160,-2144
2019-05,CC,14825,32,0,0,32
2019-05,BN,0,0,1,0,0
2019-05,DP,0,0,124600,286,-286
2019-05,FG,3502,31,64859,311,-280
2019-05,PA,8,1,6849998,5767,-5766
2019-05,GV,0,0,1,0,0
2019-05,MG,56,0,2555263,8516,-8516
2019-05,MS,0,0,148028,831,-831
2019-05,OR,126,0,12121181,20544,-20544
2019-05,TG,2560,21,0,0,21
2019-05,GP,0,0,1181623,1966,-1966
2019-05,LM,51,2,1591654,3249,-3247
2019-05,WM,65855,144,0,0,144
2019-05,PP,0,0,27283,73,-73
2019-05,AP,53263,163,0,0,163
2019-05,PR,275806,790,0,0,790
2019-05,AC,216,3,0,0,3
2019-05,PU,65,1,0,0,1
2019-06,TM,383862,1060,0,0,1060
2019-06,ON,10153041,3516,527000,202,3314
2019-06,SL,84,1,155174,148,-147
2019-06,BC,0,0,635122,684,-684
2019-06,BS,0,0,15770,69,-69
2019-06,CB,3286366,1656,271444,69,1586
2019-06,LT,938621,955,104,0,955
2019-06,CR,19500,14,7853590,3601,-3587
2019-06,CC,10141,23,0,0,23
2019-06,BN,2,0,0,0,0
2019-06,BE,10,0,0,0,0
2019-06,DP,1314,11,3834,22,-12
2019-06,FG,1532,14,19063,88,-74
2019-06,PA,24,0,5229827,4517,-4517
2019-06,MG,76,1,1428932,4901,-4901
2019-06,MS,0,0,95945,526,-526
2019-06,OR,104,0,1708624,2558,-2558
2019-06,TG,3417,21,0,0,21
2019-06,GP,0,0,1825484,2321,-2321
2019-06,LM,17,1,1164255,2414,-2414
2019-06,WM,51029,89,0,0,89
2019-06,PP,0,0,31039,61,-61
2019-06,AP,9366,37,0,0,37
2019-06,PR,26601,68,0,0,68
2019-06,CE,10,0,0,0,0
2019-06,PC,3682,26,0,0,26
2019-06,PU,7,0,0,0,0
2019-07,TM,600648,1596,0,0,1596
2019-07,ON,20949417,6402,1529100,460,5941
2019-07,SL,41,0,64790,130,-130
2019-07,BC,40,0,586192,671,-671
2019-07,BS,0,0,17000,73,-73
2019-07,CB,1676629,798,472041,119,679
2019-07,LT,248976,280,2091851,1496,-1216
2019-07,CH,0,0,270,1,-1
2019-07,CR,17000,11,9570280,3817,-3806
2019-07,CC,9947,25,0,0,25
2019-07,BN,10,0,0,0,0
2019-07,DP,2737,9,36556,56,-48
2019-07,FG,876,8,47011,255,-248
2019-07,PA,26,0,6178913,5343,-5342
2019-07,MG,6,0,375527,1428,-1428
2019-07,MS,0,0,75591,356,-356
2019-07,OR,68,0,2098410,3109,-3109
2019-07,TG,4603,27,0,0,27
2019-07,GP,0,0,2432239,2809,-2809
2019-07,LM,0,0,2952954,6220,-6220
2019-07,WM,53774,98,0,0,98
2019-07,PP,0,0,36120,70,-70
2019-07,AP,4382,15,0,0,15
2019-07,PR,1981,4,0,0,4
2019-07,CE,20,0,4998,41,-41
2019-07,PC,103707,520,0,0,520
2019-07,PU,611,3,1,0,3
2019-08,TM,475951,1339,0,0,1339
2019-08,ON,6298833,1999,528000,197,1802
2019-08,SL,34,0,62641,153,-153
2019-08,BC,0,0,1389462,1618,-1618
2019-08,BS,0,0,20620,93,-93
2019-08,CB,2465625,1154,280140,73,1081
2019-08,LT,31936,69,4136721,3220,-3151
2019-08,CH,0,0,288,2,-2
2019-08,CR,18547,12,7232500,2690,-2679
2019-08,CC,1907,6,0,0,6
2019-08,BN,6,0,0,0,0
2019-08,DP,0,0,113,2,-2
2019-08,FG,657,7,45170,250,-243
2019-08,PA,12,0,4990299,4032,-4032
2019-08,MG,15,0,492980,2010,-2010
2019-08,MS,0,0,81559,378,-378
2019-08,OR,34,0,2046705,2936,-2936
2019-08,TG,5859,31,0,0,31
2019-08,GP,0,0,1526130,1745,-1745
2019-08,LM,0,0,1394638,2817,-2817
2019-08,WM,23011,44,16069,63,-19
2019-08,PP,0,0,28500,61,-61
2019-08,AP,12969,48,0,0,48
2019-08,PR,4657709,13533,0,0,13533
2019-08,CE,0,0,998,9,-9
2019-08,PC,195219,923,0,0,923
2019-08,PU,40,0,0,0,0
2019-09,TM,424680,1268,0,0,1268
2019-09,ON,3558274,1301,1553900,429,872
2019-09,SL,82,1,83170,149,-148
2019-09,BC,0,0,1511178,1558,-1558
2019-09,BS,0,0,15665,82,-82
2019-09,CB,1187087,566,226329,60,507
2019-09,LT,16879,53,1870221,1378,-1324
2019-09,CH,0,0,288,2,-2
2019-09,CR,15575,10,10404140,3839,-3829
2019-09,CC,7650,17,0,0,17
2019-09,BN,8,0,0,0,0
2019-09,BE,338,1,0,0,1
2019-09,DP,408,2,878,11,-9
2019-09,FG,2688,29,16544,73,-45
2019-09,PA,0,0,4510505,3862,-3862
2019-09,GV,0,0,1,0,0
2019-09,MG,15,0,734596,3284,-3284
2019-09,MS,0,0,6480,34,-34
2019-09,OR,0,0,1630794,2199,-2199
2019-09,TG,8050,39,0,0,39
2019-09,GP,0,0,654560,724,-724
2019-09,LM,0,0,835881,1702,-1702
2019-09,WM,3990,5,32005,84,-78
2019-09,PP,0,0,13575,35,-35
2019-09,AP,73601,197,0,0,197
2019-09,PR,3251352,8918,0,0,8918
2019-09,PC,141579,699,0,0,699
2019-09,PU,20,0,0,0,0
2019-10,TM,456086,1337,0,0,1337
2019-10,ON,5975112,2210,343000,123,2086
2019-10,SL,79,1,67605,159,-158
2019-10,BC,0,0,1478019,1378,-1378
2019-10,BS,0,0,17695,86,-86
2019-10,CB,201297,105,635187,151,-46
2019-10,LT,3166,8,762228,505,-497
2019-10,CH,0,0,270,1,-1
2019-10,CR,17596,11,10531000,3151,-3139
2019-10,CC,6483,15,0,0,15
2019-10,BN,13,0,0,0,0
2019-10,DP,0,0,86,2,-2
2019-10,FG,0,0,20898,101,-101
2019-10,PA,2,0,6364347,5456,-5456
2019-10,MG,0,0,763951,3023,-3023
2019-10,OR,60,0,1646813,2007,-2007
2019-10,TG,3651,14,0,0,14
2019-10,GP,0,0,488890,713,-713
2019-10,LM,0,0,1446662,3304,-3304
2019-10,WM,70,0,19595,55,-55
2019-10,PP,0,0,30335,62,-62
2019-10,AP,270032,587,0,0,587
2019-10,PR,5720206,15475,16200,36,15439
2019-10,PC,27667,133,0,0,133
2019-10,PU,10,0,0,0,0
2019-11,TM,408516,1191,0,0,1191
2019-11,ON,1559163,575,2107500,561,14
2019-11,SL,17,0,56530,141,-141
2019-11,BC,0,0,1318362,1498,-1498
2019-11,BS,8,0,18320,85,-85
2019-11,CB,9748,7,4026494,789,-781
2019-11,LT,37307,45,529776,354,-309
2019-11,CH,0,0,450,3,-3
2019-11,CR,19000,12,8083306,2229,-2217
2019-11,CC,9845,23,0,0,23
2019-11,BN,24,0,0,0,0
2019-11,DP,909,6,26177,48,-42
2019-11,FG,3696,38,55723,274,-236
2019-11,PA,120,6,5773753,4747,-4741
2019-11,MG,0,0,678771,3054,-3054
2019-11,OR,90,1,582640,929,-928
2019-11,TG,1663839,1892,1,0,1892
2019-11,GP,0,0,1785954,3030,-3030
2019-11,LM,0,0,996332,2408,-2408
2019-11,WM,450,1,0,0,1
2019-11,PP,0,0,27145,53,-53
2019-11,AP,700897,1641,0,0,1641
2019-11,PR,5873171,15005,32400,71,14934
2019-12,TM,462047,1326,0,0,1326
2019-12,ON,1886,2,412000,129,-127
2019-12,SL,0,0,65170,155,-155
2019-12,BC,0,0,1459580,1847,-1847
2019-12,BS,0,0,27095,118,-118
2019-12,CB,58389,46,4500258,908,-861
2019-12,LT,62402,75,37260,29,46
2019-12,CH,0,0,432,3,-3
2019-12,CR,27000,17,11100770,3156,-3140
2019-12,CC,7068,16,0,0,16
2019-12,BN,30,0,0,0,0
2019-12,DP,0,0,37887,75,-75
2019-12,FG,0,0,47114,201,-201
2019-12,PA,72,0,6114649,4671,-4671
2019-12,MG,1,0,921609,4489,-4489
2019-12,MS,0,0,52,3,-3
2019-12,OR,0,0,1994401,3124,-3124
2019-12,TG,543306,663,0,0,663
2019-12,GP,0,0,2345555,3708,-3708
2019-12,LM,17,0,1114199,2356,-2356
2019-12,PP,0,0,18135,37,-37
2019-12,AP,714147,1624,13230,33,1591
2019-12,PR,5359103,14123,14100,43,14080
2019-12,CE,5,0,0,0,0
2019-12,PU,0,0,1,0,0
2020-01,TM,346503,965,0,0,965
2020-01,ON,4290,5,1628000,448,-442
2020-01,SL,0,0,83770,166,-166
2020-01,BC,8,0,931198,1051,-1051
2020-01,BS,0,0,16450,73,-73
2020-01,CB,14172,22,4455582,1082,-1060
2020-01,LT,37445,45,443400,318,-272
2020-01,CH,0,0,32700,20,-20
2020-01,CR,22045,25,8565913,2693,-2668
2020-01,CC,5120,20,0,0,20
2020-01,BN,24,0,0,0,0
2020-01,DP,5,0,26128,40,-39
2020-01,FG,657,6,69334,272,-266
2020-01,PA,12,0,4548006,3560,-3559
2020-01,MG,0,0,2202074,8812,-8812
2020-01,MS,0,0,1181,12,-12
2020-01,OR,1344,3,4793983,8031,-8028
2020-01,TG,79647,184,0,0,184
2020-01,GP,0,0,1718034,2714,-2714
2020-01,LM,0,0,1452510,2905,-2905
2020-01,WM,0,0,5220,32,-32
2020-01,PP,0,0,15160,44,-44
2020-01,AP,223572,522,13230,33,488
2020-01,PR,2626030,7305,24223,79,7225
2020-02,TM,342626,970,0,0,970
2020-02,ON,20256,32,1519220,503,-471
2020-02,SL,0,0,34160,99,-99
2020-02,BC,1280,4,357872,367,-363
2020-02,BS,0,0,9615,42,-42
2020-02,CB,8876,11,2076793,526,-515
2020-02,LT,37546,47,456705,277,-230
2020-02,CH,0,0,55930,34,-34
2020-02,CR,18440,18,5897390,2404,-2387
2020-02,CC,12475,16,0,0,16
2020-02,BN,24,0,0,0,0
2020-02,DP,846,6,13914,33,-27
2020-02,FG,1099,10,26039,92,-82
2020-02,PA,13,0,5048076,3576,-3576
2020-02,GV,0,0,400,2,-2
2020-02,MG,0,0,2842736,10158,-10158
2020-02,MS,0,0,3740,28,-28
2020-02,OR,82,1,4779430,7892,-7891
2020-02,TG,51859,250,0,0,250
2020-02,GP,0,0,1240749,2020,-2020
2020-02,LM,0,0,1815182,3335,-3335
2020-02,WM,0,0,19424,148,-148
2020-02,PP,0,0,27651,58,-58
2020-02,AP,172356,459,0,0,459
2020-02,PR,1524867,3851,0,0,3851
2020-03,TM,335429,990,0,0,990
2020-03,ON,1899,4,3025090,1119,-1115
2020-03,SL,0,0,86998,209,-209
2020-03,BC,0,0,978995,1008,-1008
2020-03,BS,0,0,13293,52,-52
2020-03,CB,4472,6,3870094,1021,-1016
2020-03,LT,337,4,295755,134,-130
2020-03,CH,0,0,13416,9,-9
2020-03,CR,16620,21,9053150,4228,-4206
2020-03,CC,21437,32,0,0,32
2020-03,BN,12,0,0,0,0
2020-03,DP,0,0,67602,119,-119
2020-03,FG,2408,21,60012,208,-187
2020-03,PA,23,0,5104900,3969,-3969
2020-03,MG,27,0,2664697,9212,-9212
2020-03,MS,0,0,4650,36,-36
2020-03,OR,1293,2,49759137,81186,-81183
2020-03,TG,1420,7,0,0,7
2020-03,GP,0,0,1061996,1677,-1677
2020-03,LM,100,1,1940997,3597,-3596
2020-03,WM,79,1,5503,53,-52
2020-03,PP,0,0,20655,39,-39
2020-03,AP,102520,268,0,0,268
2020-03,PR,1231143,3180,0,0,3180
2020-04,TM,289689,802,0,0,802
2020-04,ON,4835,9,2941200,1028,-1019
2020-04,SL,0,0,134677,198,-198
2020-04,BC,84,1,960201,1082,-1081
2020-04,BS,0,0,20154,70,-70
2020-04,CB,36380,33,8280800,1898,-1865
2020-04,LT,450,5,12150,7,-2
2020-04,CH,0,0,216,2,-2
2020-04,CR,20822,17,7139500,2733,-2715
2020-04,CC,9435,24,0,0,24
2020-04,DP,0,0,61063,140,-140
2020-04,FG,0,0,14029,60,-60
2020-04,PA,40,1,5383087,4248,-4248
2020-04,MG,39,1,1954183,5837,-5836
2020-04,MS,0,0,46989,347,-347
2020-04,OR,3684,11,31547275,52045,-52034
2020-04,TG,22,1,0,0,1
2020-04,GP,0,0,763409,1207,-1207
2020-04,LM,0,0,1250944,2290,-2290
2020-04,WM,20353,40,0,0,40
2020-04,PP,20,0,6700,20,-20
2020-04,AP,106046,265,0,0,265
2020-04,PR,566870,1331,0,0,1331
2020-05,TM,270762,758,0,0,758
2020-05,ON,54785,27,683960,243,-216
2020-05,SL,208,0,258922,202,-202
2020-05,BC,16,1,683138,769,-767
2020-05,BS,0,0,16928,76,-76
2020-05,CB,584000,268,2546712,608,-339
2020-05,LT,45636,58,0,0,58
2020-05,CR,13200,11,7221300,2509,-2498
2020-05,CC,11830,29,0,0,29
2020-05,DP,438,4,63833,99,-96
2020-05,FG,1313,12,56619,244,-231
2020-05,PA,24,0,5705098,4510,-4510
2020-05,MG,38,0,1883055,5999,-5999
2020-05,MS,0,0,203773,1152,-1152
2020-05,OR,236,1,12007778,20216,-20215
2020-05,TG,1894,18,0,0,18
2020-05,GP,0,0,1712689,2528,-2528
2020-05,LM,0,0,1430083,2469,-2469
2020-05,WM,51853,85,0,0,85
2020-05,PP,0,0,14865,41,-41
2020-05,AP,29692,69,0,0,69
2020-05,PR,194529,490,0,0,490
2020-05,AC,1,0,0,0,0
2020-05,CE,30,0,0,0,0
2020-05,PC,235,3,0,0,3
2020-05,PU,11,0,0,0,0
2020-06,TM,348127,1040,0,0,1040
2020-06,ON,1423146,619,590005,155,464
2020-06,SL,117,0,51800,168,-167
2020-06,BC,0,0,372426,447,-447
2020-06,BS,0,0,24160,156,-156
2020-06,CB,2948418,1323,701305,145,1178
2020-06,LT,338666,338,37460,26,312
2020-06,CR,7730,7,8323780,3245,-3238
2020-06,CC,14719,32,0,0,32
2020-06,DP,383,3,77655,192,-189
2020-06,FG,0,0,43060,182,-182
2020-06,PA,26,0,5541366,4250,-4250
2020-06,MG,35,1,1369454,4905,-4904
2020-06,MS,0,0,106443,664,-664
2020-06,OR,68,0,1582862,2397,-2397
2020-06,TG,4178,31,1,0,31
2020-06,GP,0,0,1739184,2451,-2451
2020-06,LM,117,0,2201640,4052,-4052
2020-06,WM,129595,222,0,0,222
2020-06,PP,0,0,13990,36,-36
2020-06,AP,14308,44,0,0,44
2020-06,PR,12272,28,0,0,28
2020-06,AC,498,5,0,0,5
2020-06,CE,20,0,0,0,0
2020-06,PC,10592,81,0,0,81
2020-06,PU,291,1,0,0,1
2020-07,TM,514505,1452,0,0,1452
2020-07,ON,3490935,1715,1109000,251,1464
2020-07,SL,2090,5,99328,177,-172
2020-07,BC,8,0,463256,540,-540
2020-07,BS,0,0,20010,129,-129
2020-07,CB,1368417,618,375520,94,524
2020-07,LT,93128,129,1717117,1196,-1068
2020-07,CR,20700,19,10460300,3969,-3950
2020-07,CC,22681,46,0,0,46
2020-07,DP,272,1,30444,106,-104
2020-07,FG,1334,11,80856,425,-414
2020-07,PA,44,1,5070968,3839,-3838
2020-07,MG,30,1,632592,3075,-3073
2020-07,MS,5,0,24446,175,-175
2020-07,OR,17,0,1971863,3043,-3043
2020-07,TG,12760,67,0,0,67
2020-07,GP,0,0,2073009,2325,-2325
2020-07,LM,0,0,2588151,4970,-4970
2020-07,WM,65759,104,0,0,104
2020-07,PP,0,0,11575,29,-29
2020-07,AP,5849,19,0,0,19
2020-07,PR,27834,76,0,0,76
2020-07,AC,496,4,0,0,4
2020-07,PC,126378,710,0,0,710
2020-07,PU,958,7,0,0,7
2020-08,TM,506016,1451,0,0,1451
2020-08,ON,607496,308,2585795,583,-275
2020-08,SL,0,0,66448,152,-152
2020-08,BC,0,0,1159982,1551,-1551
2020-08,BS,0,0,26610,177,-177
2020-08,CB,104911,81,1207192,351,-270
2020-08,LT,37182,59,3751197,3321,-3262
2020-08,CR,15830,15,5513750,2309,-2294
2020-08,CC,9276,27,0,0,27
2020-08,DP,438,4,10416,48,-44
2020-08,FG,2549,20,39692,159,-140
2020-08,PA,0,0,4640611,3553,-3553
2020-08,GV,0,0,0,0,0
2020-08,MG,150,6,415447,1835,-1829
2020-08,MS,0,0,98522,644,-644
2020-08,OR,0,0,1989961,2925,-2925
2020-08,TG,9556,50,0,0,50
2020-08,GP,0,0,933950,1048,-1048
2020-08,LM,0,0,1505762,2745,-2745
2020-08,WM,51148,78,0,0,78
2020-08,PP,0,0,12001,32,-32
2020-08,AP,3505,22,0,0,22
2020-08,PR,1229639,3426,0,0,3426
2020-08,PC,150624,795,0,0,795
2020-08,PU,15,1,0,0,1
2020-09,TM,280871,893,0,0,893
2020-09,ON,2625,4,2141790,568,-564
2020-09,SL,0,0,157888,264,-264
2020-09,BC,0,0,1649010,2093,-2093
2020-09,BS,0,0,18338,96,-96
2020-09,CB,24388,34,3056029,943,-910
2020-09,LT,505,10,3656341,3008,-2998
2020-09,CR,13430,12,12652700,5154,-5143
2020-09,CC,2481,17,0,0,17
2020-09,DP,219,2,33258,93,-91
2020-09,FG,219,2,59191,191,-189
2020-09,PA,42,3,4613963,3564,-3561
2020-09,GV,0,0,0,0,0
2020-09,MG,0,0,814337,4104,-4104
2020-09,MS,0,0,34412,230,-230
2020-09,OR,2900,6,3127049,4736,-4730
2020-09,TG,14484,91,0,0,91
2020-09,GP,0,0,294209,417,-417
2020-09,LM,3294,14,1531832,2722,-2708
2020-09,WM,19214,41,0,0,41
2020-09,PP,0,0,17635,35,-35
2020-09,AP,34808,154,0,0,154
2020-09,PR,4359483,13209,0,0,13209
2020-09,PC,100614,562,0,0,562
2020-09,PU,150,1,0,0,1
2020-10,TM,290826,914,0,0,914
2020-10,ON,7335,12,3984216,1213,-1201
2020-10,SL,151,1,87168,196,-195
2020-10,BC,16,0,1023721,1299,-1299
2020-10,BS,0,0,20230,97,-97
2020-10,CB,8369,12,5031403,1678,-1666
2020-10,LT,196,3,289977,227,-224
2020-10,CR,15200,12,8658010,3057,-3045
2020-10,TN,450,8,0,0,8
2020-10,CC,6744,21,0,0,21
2020-10,DP,876,7,144,5,3
2020-10,FG,1752,17,22579,93,-75
2020-10,PA,0,0,5429426,4307,-4307
2020-10,GV,0,0,3,0,0
2020-10,MG,0,0,618127,3061,-3061
2020-10,MS,0,0,2700,32,-32
2020-10,OR,75,0,2203404,2998,-2998
2020-10,TG,133776,158,2,0,158
2020-10,GP,0,0,384442,878,-878
2020-10,LM,0,0,1492484,2678,-2678
2020-10,WM,7655,15,0,0,15
2020-10,PP,0,0,11995,33,-33
2020-10,AP,95962,392,0,0,392
2020-10,PR,4393199,13904,0,0,13904
2020-10,PC,7445,46,0,0,46
2020-10,PU,0,0,0,0,0
2020-11,TM,366878,1161,0,0,1161
2020-11,ON,2295,6,3547341,1254,-1248
2020-11,SL,106,1,102800,170,-169
2020-11,BC,50,0,1119959,1206,-1205
2020-11,BS,0,0,22130,107,-107
2020-11,CB,23417,38,3322786,1168,-1130
2020-11,LT,639,3,325,0,3
2020-11,CR,12500,9,7279620,2458,-2449
2020-11,CC,8728,21,0,0,21
2020-11,DP,408,2,27959,57,-55
2020-11,FG,498,5,85787,356,-352
2020-11,PA,10,1,4942579,3929,-3929
2020-11,GV,0,0,3,0,0
2020-11,MG,0,0,604077,3200,-3200
2020-11,MS,0,0,14,2,-2
2020-11,OR,165,1,732588,1122,-1121
2020-11,TG,3289766,3197,0,0,3197
2020-11,GP,0,0,2371322,4319,-4319
2020-11,LM,10310,32,1300300,3144,-3112
2020-11,WM,4453,9,0,0,9
2020-11,PP,0,0,6745,17,-17
2020-11,AP,302555,934,0,0,934
2020-11,PR,4486005,14793,0,0,14793
2020-12,TM,422963,1150,0,0,1150
2020-12,ON,2046,5,4729435,1655,-1650
2020-12,SL,15,0,93710,123,-123
2020-12,BC,0,0,646334,650,-650
2020-12,BS,0,0,31150,154,-154
2020-12,CB,863894,495,1590890,538,-42
2020-12,LT,259,3,75065,59,-56
2020-12,CR,20050,14,10487740,3587,-3574
2020-12,CC,3508,11,0,0,11
2020-12,BE,0,0,1,0,0
2020-12,DP,7,0,83451,170,-170
2020-12,FG,0,0,78939,372,-372
2020-12,PA,0,0,5810955,4262,-4262
2020-12,MG,0,0,888514,5043,-5043
2020-12,OR,3960,9,860744,1480,-1470
2020-12,TG,2396213,1928,0,0,1928
2020-12,GP,0,0,2228564,3839,-3839
2020-12,LM,0,0,709010,1655,-1655
2020-12,WM,0,0,7,0,0
2020-12,PP,0,0,11100,32,-32
2020-12,AP,645333,1902,0,0,1902
2020-12,PR,2904040,10058,0,0,10058
2020-12,AC,0,0,0,0,0
2020-12,PU,0,0,1,0,0
2021-01,TM,306752,907,0,0,907
2021-01,ON,13535,25,6684395,2611,-2585
2021-01,SL,34,1,106629,206,-205
2021-01,BC,0,0,684368,760,-760
2021-01,BS,0,0,16650,83,-83
2021-01,CB,17875,24,1031160,399,-375
2021-01,LT,266,3,360912,275,-273
2021-01,CR,19008,18,7361820,2893,-2875
2021-01,CC,6848,27,0,0,27
2021-01,BE,0,0,3,0,0
2021-01,DP,0,0,134126,238,-238
2021-01,FG,102,4,48794,205,-201
2021-01,PA,10,0,4027651,3213,-3213
2021-01,GV,0,0,1,0,0
2021-01,MG,5,0,1672767,7998,-7998
2021-01,OR,85,0,2338411,4259,-4258
2021-01,TG,535156,668,1,0,668
2021-01,GP,0,0,1706807,2838,-2838
2021-01,LM,0,0,794307,1793,-1793
2021-01,WM,1038,3,0,0,3
2021-01,PP,0,0,14652,28,-28
2021-01,AP,146817,490,0,0,490
2021-01,PR,1108749,4169,5400,27,4142
2021-01,PU,0,0,2,0,0
2021-02,TM,360655,1034,0,0,1034
2021-02,ON,135,1,10318852,4387,-4386
2021-02,SL,51,1,122266,177,-175
